nome,controle,comando,bodydrag,contra_vento_prancha,teoria
Aluno 1,7,6,5,6,8
Aluno 2,8,7,7,6,9
Aluno 3,5,5,6,5,6
Aluno 4,6,6,6,7,5
Aluno 5,9,8,7,8,9
Aluno 6,4,5,4,5,4
Aluno 7,6,7,6,6,7
Aluno 8,8,9,8,7,8
Aluno 9,5,4,5,4,5
Aluno 10,7,6,7,6,7
Aluno 11,8,7,6,7,8
Aluno 12,6,5,6,5,6
Aluno 13,9,9,8,8,9
Aluno 14,3,4,3,4,3
Aluno 15,7,8,7,7,8
Aluno 16,5,6,5,6,5
Aluno 17,8,8,7,9,8
Aluno 18,6,5,6,5,6
Aluno 19,7,7,6,6,7
Aluno 20,4,4,5,4,4
Aluno 21,9,8,9,8,9
Aluno 22,6,6,6,6,6
Aluno 23,5,5,4,5,5
Aluno 24,8,7,8,7,8
Aluno 25,7,6,7,6,7
